"x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
839,"Ranjitkar_2014_GloEcoandCon","ARTICLE","Ranjitkar, S. and Kindt, R. and Sujakhu, N.M. and Hart, R. and Guo, W. and Yang, X. and Shrestha, K.K. and Xu, J. and Luedeling, E.","Separation of the bioclimatic spaces of Himalayan tree rhododendron species predicted by ensemble suitability models","Global Ecology and Conservation",2014,"1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919332668&doi=10.1016%2fj.gecco.2014.07.001&partnerID=40&md5=62eb17f8d81cfb9107392b7e2d19b268","The tree rhododendrons include the most widely distributed Himalayan Rhododendron species belonging to the subsection Arborea. Distributions of two members of this sub-species were modelled using bioclimatic data for current conditions (1950-2000). A subset of the least correlated bioclimatic variables was used for ecological niche modelling (ENM). We used an ENM ensemble method in the BiodiversityR R-package to map the suitable climatic space for tree rhododendrons based on 217 point location records. Ensemble bioclimatic models for tree rhododendrons had high predictive power with bioclimatic variables, which also separated the climatic spaces for the two species. Tree rhododendrons were found occurring in a wide range of climate and the distributional limits were associated with isothermality, temperature ranges, temperature of the wettest quarter, and precipitation of the warmest quarter of the year. The most suitable climatic space for tree rhododendrons was predicted to be in western Yunnan, China, with suitability declining towards the west and east. Its occurrence in a wide range of climatic settings with highly dissected habitats speaks to the adaptive capacity of the species, which might open up future options for their conservation planning in regions where they are listed as threatened. 2014 The Authors.","Elsevier B.V.","English",NA,"23519894","10.1016/j.gecco.2014.07.001",NA,NA,NA,NA,"12-2","Separation of the Bioclimatic Spaces of Himalayan Tree Rhododendron Species Predicted by Ensemble Suitability Models.","selected",NA,"excluded"
845,"Bajpai_2014_Phyt","ARTICLE","Bajpai, O. and Srivastava, A.K. and Kushwaha, A.K. and Chaudhary, L.B.","Taxonomy of a monotypic genus Indopiptadenia (Leguminosae-Mimosoideae)","Phytotaxa",2014,"164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902976024&doi=10.11646%2fphytotaxa.164.2.1&partnerID=40&md5=239e3dfb6928d2fe84d1673f93e7a660","Indopiptadenia, a monospecific genus with the species I. oudhensis, is confined to the Indo-Nepal border area in scattered populations along the Himalayan foothills between 156-908 m elevation. I. oudhensis has been little studied since its discovery in 1874. The taxonomy of the genus is reexamined here with extensive notes on diversity, distribution, phenology, ecology and conservation status based on exhaustive field survey and examination of herbarium specimens. A full description including data on many new characters and encompassing all morphological variations is provided to better characterize the species so that its correct systematic position can be ascertained and provide the basis for proper conservation strategies. Placed in the tribe Mimoseae, the species shows more affinity towards the Newtonia group than the Piptadenia group. However, it differs from the former in having unarmed to armed stem, uni- or bijugate leaflets, absence of stemonozone and pods that dehisce generally by rupturing of the pod valves over the seed chambers to leave a persistent replum. The IUCN category Near Threatened (NT) is assigned to the taxon. 2014 Magnolia Press.","Magnolia Press","English",NA,"11793155","10.11646/phytotaxa.164.2.1","2",NA,NA,NA,"61-78","Taxonomy of a Monotypic Genus Indopiptadenia (Leguminosae-Mimosoideae)","unknown",NA,"excluded"
848,"Singh_2014_AriLanResandMan","ARTICLE","Singh, S.K. and Sidhu, G.S. and Choudhury, S.G. and Pandey, C.B. and Banerjee, T. and Sarkar, D.","Soil Organic Carbon Density in Arable and Non-Arable Lands under Varied Soil Moisture and Temperature Regimes in Cold Arid to Sub-Tropical Areas of Western Himalaya, India","Arid Land Research and Management",2014,"28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893490271&doi=10.1080%2f15324982.2013.824930&partnerID=40&md5=7eba624e61157bc58cb6f2b82584df3d","Soil organic carbon (SOC) density and soil microbial biomass carbon (SMBC) were studied in 0-30 and 0-100 cm depths in arable and non-arable lands under four soil moisture and temperature regimes (SMTR) [i.e., cryic-ardic (wet period &lt;90 days; mean soil temperature &lt;8C), udic-mesic (wet period 180-270 days; mean soil temperature 8-15C), udic-thermic (wet period 180-270 days; mean soil temperature 15-22C), and ustic-hyperthermic (wet period 90-180 days; mean soil temperature &gt;22C)] and four soil erosion regimes (slight, moderate, severe, and very severe) in cold arid to subtropical conditions of Western Himalayas, India. The study revealed that SOC density (1.2 0.2 kg m-2) was the lowest in ustic-hyperthermic and highest in udic-mesic (4.2 0.8 kg m-2) and udic-thermic (4.2 0.7 kg m-2) conditions. SOC density in aridic-cryic was higher in arable than in nonarable lands, whereas the trend was reverse in other soil moisture and temperature regimes. Spatial variability of SOC was higher in nonarable than arable lands. Across SMTR and land uses, both SOC density and SMBC were significantly higher on slightly to moderately than severely to very severely eroded surfaces. In 0-30 cm depth, SOC density was highest in Dystrudepts (17.6 kg m-2) and lowest in Hapludalfs (1.9 kg m-2), whereas in 0-100 cm depth, Dystrudepts (32 kg m-2) and Haplustepts (4.2 kg m-2) hold the highest and lowest SOC density, respectively. SMBC moved parallel to SOC density. Study claims that agriculture with good soil and water conservation measures has potential to sequester SOC on the hills. 2014 Taylor and Francis Group, LLC.",NA,"English","arable land;  biomass;  bulk density;  land use;  organic carbon;  soil depth;  soil erosion;  soil moisture;  soil organic matter;  temperature effect;  water, Himalayas","15324982","10.1080/15324982.2013.824930","2",NA,NA,NA,"169-185","Soil Organic Carbon Density in Arable and Non-Arable Lands under Varied Soil Moisture and Temperature Regimes in Cold Arid to Sub-Tropical Areas of Western Himalaya, India.","unknown",NA,"excluded"
849,"Singh_2014_PalaPalaPala","ARTICLE","Singh, S. and Parkash, B. and Awasthi, A.K. and Kumar, S.","Do stable isotopes in carbonate cement of Mio-Pleistocene Himalayan sediments record paleoecological and paleoclimatic changes?","Palaeogeography, Palaeoclimatology, Palaeoecology",2014,"399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896546640&doi=10.1016%2fj.palaeo.2014.02.002&partnerID=40&md5=6bd4081e8a17d23ea934ee1ee59ef576","Non-pedogenic carbonates, such as carbonate cement and nodules in the sandstones, are quite common in the terrestrial geological record. Unlike pedogenic carbonates, their stable isotope ratios lack investigations for paleoclimatic reconstructions. The present investigation therefore, explores the possibility of use of stable isotope studies of non-pedogenic carbonates from the Mio-Pleistocene Siwalik Group of sediments exposed in the Ramnagar sub-basin of the NW Himalaya. Petrographic studies reveal the dominance of micrite fabric in carbonate nodules both of pedogenic and non-pedogenic samples irrespective of specific stratigraphic unit. However, calcite as cement in the sandstones shows the dominance of micrite fabric in the younger in age sediments. Seventy-two non-pedogenic carbonate samples from the carbonate nodules and cement in the Siwalik sandstones, ranging in age between ~1Ma and 12.2Ma, were analyzed for 13C and 18O values. The 13C values vary from -24.77 to -1.1 and 18O values vary from -15.34 to -7.81. Pedogenic and non-pedogenic carbonates ranging in age between ~1Ma and 6Ma have largely similar 13C values and the range of 13C values indicate the dominance of C4 type of vegetation. However, unlike pedogenic carbonates which showed the dominance of C3 type of vegetation pre- 7Ma on the basis of 13C -depleted isotopic values (Singh et al., 2011), 13C values are largely enriched in the corresponding aged non-pedogenic carbonates revealing no information on specific type of vegetation. Likewise, paleoprecipitational reconstructions from 18O values in pedogenic carbonates showed a progressive increase in aridity from ~12Ma to recent excluding short term increases in rainfall/monsoon intensity at around 10Ma, 5Ma, and 1.8Ma (Singh et al., 2012). On the contrary, such reconstructions are not possible from the 18O values of non-pedogenic carbonates and indeed the 18O values of non-pedogenic carbonates are largely depleted to as much as 6 from the corresponding pedogenic carbonates. Such differences in 13C and 18O values of non-pedogenic carbonates from pedogenic carbonates are primarily due to the dependence of the former on groundwater conditions responsible for precipitating carbonate. Further, a comparison of isotopic values between non-pedogenic and pedogenic carbonates can be interpreted that post-6Ma and pre-6Ma non-pedogenic carbonates were largely formed by shallow and deep groundwater conditions respectively. The result of these investigative studies therefore, suggests that the stable 13C and 18O values of non-pedogenic carbonates, unlike the pedogenic carbonates and irrespective of nature of calcite fabric, showed their little importance in paleoclimatic and paleoecological reconstructions. 2014 Elsevier B.V.","Elsevier","English","carbonate;  climate variation;  foreland basin;  paleoclimate;  paleoecology;  pedogenesis;  petrogenesis;  Pleistocene;  sandstone;  stable isotope, Siwalik Hills","00310182","10.1016/j.palaeo.2014.02.002",NA,NA,NA,NA,"363-372","Do Stable Isotopes in Carbonate Cement of Mio-Pleistocene Himalayan Sediments Record Paleoecological and Paleoclimatic Changes?","unknown",NA,"excluded"
852,"Yaseen_2014_IndCroandPro","ARTICLE","Yaseen, M. and Singh, M. and Ram, D. and Singh, K.","Production potential, nitrogen use efficiency and economics of clarysage (Salvia sclarea L.) varieties as influenced by nitrogen levels under different locations","Industrial Crops and Products",2014,"54","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893347825&doi=10.1016%2fj.indcrop.2014.01.002&partnerID=40&md5=c23c67a1219185fb9de39cb0fd830782","Clarysage (Salvia sclarea L.) is known for its high value essential oil, widely used in perfumery as a source of fragrance with refreshing and long lasting note. Ten treatment combinations consisting of two clarysage varieties (Local and CIM-Chandni) and five nitrogen levels (0, 40, 80, 120 and 160kgNha-1) were evaluated in factorial randomized block design with three replications at three locations; Lucknow (Sub-tropical plain), Pantnagar (foot hills of Himalayas) and Purara (western Himalayas). Crop matured 9 and 27 days earlier at Lucknow as compared to Pantnagar and Purara, respectively. Flower spike and oil yields were highest at Pantnagar as compared to other locations. In spite of lowest yields at Purara plant synthesized significantly more oil due to lower temperature, longer life span and higher spikes:leaf+stem ratio. Linalyl acetate content in oil was highest at Lucknow followed by Pantnagar and Purara. Variety CIM-Chandni had significantly higher flower spikes, spikes:leaf+stem ratio, oil content and produced higher oil of better quality. Optimum doses of nitrogen were worked out to be 107.6 and 116.5kgha-1 at Lucknow, 117.2 and 105.2kgha-1 at Pantnagar, 159.8 and 132.6kgha-1 for local and CIM-Chandni, respectively. 2014 Elsevier B.V.",NA,"English","CIM-Chandni;  Linalool;  Linalyl acetate;  Nitrogen-use efficiency;  Salvia sclarea;  Sclareol, Nitrogen, Essential oils, acetate;  economic analysis;  essential oil;  herb;  low temperature;  nitrogen;  nutrient use efficiency, Himalayas","09266690","10.1016/j.indcrop.2014.01.002",NA,NA,NA,NA,"86-91","Production Potential, Nitrogen Use Efficiency and Economics of Clarysage (Salvia Sclarea L.) Varieties as Influenced by Nitrogen Levels under Different Locations.","selected",NA,"excluded"
857,"Khan_2014_GloandPlaCha","ARTICLE","Khan, M.A. and Spicer, R.A. and Bera, S. and Ghosh, R. and Yang, J. and Spicer, T.E.V. and Guo, S.-X. and Su, T. and Jacques, F. and Grote, P.J.","Miocene to Pleistocene floras and climate of the Eastern Himalayan Siwaliks, and new palaeoelevation estimates for the Namling-Oiyug Basin, Tibet","Global and Planetary Change",2014,"113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890887514&doi=10.1016%2fj.gloplacha.2013.12.003&partnerID=40&md5=9848e78bbc1eeb0f640f95c49f452b18","Four fossil floras ranging in age from the mid Miocene to the early Pleistocene from the eastern Siwaliks near Darjeeling and in Arunachal Pradesh (AP) were compared taxonomically and subjected to a CLAMP (Climate Leaf Analysis Multivariate Program) analysis using a new calibration dataset that includes sites from India, southern China and Thailand and high resolution gridded climate data. Two lower Siwalik mid Miocene floras yielded almost the same values suggesting mean annual temperatures (MATs) of 25.4 and 25.3 C 2.8 C (all uncertainties 2 sigma) with warm month mean temperatures (WMMTs) of 28.4 and 27.8 3.39 C and cold month mean temperatures (CMMTs) of 17.9 and 21.3 4 C. Precipitation estimates have high uncertainties but suggest a weak monsoon with growing season precipitations of 242 92 cm for Darjeeling and 174 92 cm for AP. Leaves from the middle Siwalik (Pliocene) sediments of AP indicate a lowering of the MAT to 23.7. C, a function of cooler winter months (CMMT 16.9. C). The AP early Pleistocene temperatures and rainfall were similar to those of the mid Miocene. Changes in the monsoon index suggest that in the AP area there has been little change in the intensity of the monsoon since mid Miocene time, while further west at Darjeeling there has been an intensification since the mid Miocene. Mid Miocene CLAMP-derived enthalpy estimates provide sea level (< 200 a.m.s.l) data for a re-evaluation of the palaeoelevation of a 15. Ma flora from the Namling-Oiyug Basin, southern Tibet. Enthalpy values from Darjeeling and AP were 354.1 and 355.8 10.3 kJ/kg respectively, while that derived from the Namling-Oiyug flora was 296.3. kJ/kg. This yields a palaeoelevation of 5888. m for the Namling site using the Darjeeling enthalpy estimate as a sea level datum and 6065. m using the AP assemblage. The combined uncertainty is 728 m. Model corrected enthalpy trends at sea level across palaeolatitude and longitude reduce the mean elevation to 5.54. km. These elevations are higher than earlier estimates from the same site (but within uncertainty) and the corrected mean is ~. 1. km higher than the present day basin floor elevation in the region, suggesting some deflation since 15. Ma associated with east-west extension, particularly if a shift in the locus of deformation and uplift south to the Himalayas in post middle Miocene times relieved N-S compressional stress on southern Tibet. 2013 Elsevier B.V.",NA,"English","India;  Monsoon;  Neo genes;  Palaeoelevation;  Tibet, Atmospheric thermodynamics;  Climate change;  Enthalpy;  Estimation;  Multivariant analysis;  Sea level;  Sediments, Uncertainty analysis, climate variation;  floristics;  fossil record;  Miocene;  paleobotany;  paleotemperature;  Pliocene;  taxonomy, China;  Siwalik Hills;  Thailand;  Xizang","09218181","10.1016/j.gloplacha.2013.12.003",NA,NA,NA,NA,"1-10","Miocene to Pleistocene Floras and Climate of the Eastern Himalayan Siwaliks, and New Palaeoelevation Estimates for the Namling-Oiyug Basin, Tibet.","selected",NA,"excluded"
859,"Li_2014_EnviEartScie","ARTICLE","Li, Z. and Xu, J. and Shilpakar, R.L. and Ma, X.","Mapping wetland cover in the greater Himalayan region: A hybrid method combining multispectral and ecological characteristics","Environmental Earth Sciences",2014,"71","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892670492&doi=10.1007%2fs12665-013-2512-y&partnerID=40&md5=4bd0e32372a005013cd0046766b0bb57","In the greater Himalayan region, wetland ecosystems such as lakes, marshes, and peat lands play an important role in regulating the flow of major rivers. These ecosystems are often overlooked and not well represented on land-use planning and conservation maps. Wetland complexes are partly ephemeral and difficult to map accurately either with digital image processing or visual interpretation. This study developed a hybrid method of extracting spatial patterns of wetland areas which combines month-on-month multispectral classifications of Moderate Resolution Imaging Spectroradiometer data with a sample wetland extraction method based on knowledge of the spectral characteristics of satellite data and wetland ecological systems. The results were compared with the best available sources for lakes and wetlands on global and national scales. It was demonstrated that the method could extract wetlands automatically to a reasonable degree of accuracy and, therefore, reduce the need for extensive ground knowledge. The model was transferred by adjusting parameters through application of high-resolution satellite data (Landsat) in some sub-basin areas. These findings are cognizant with field interviews conducted by wetland experts. The hybrid method and high-altitude wetlands maps will provide decision makers with valuable information about wetland distribution and change in response to global warming and human activities. 2013 Springer-Verlag Berlin Heidelberg.","Springer Verlag","English","Data mining;  Decision making;  Ecosystems;  Extraction;  Global warming;  Image processing;  Lakes;  Land use;  Radiometers, Ecological characteristics;  Greater Himalayan region;  High resolution satellite data;  High-altitude wetlands/lakes;  Hybrid model;  Moderate resolution imaging spectroradiometer datum;  Multispectral classification;  Spectral characteristics, Wetlands, altitude;  digital image;  ecological modeling;  geological mapping;  image resolution;  land cover;  land use planning;  multispectral image;  numerical model, Himalayas","18666280","10.1007/s12665-013-2512-y","3",NA,NA,NA,"1083-1094","Mapping Wetland Cover in the Greater Himalayan Region: a Hybrid Method Combining Multispectral and Ecological Characteristics.","unknown",NA,"excluded"
867,"Flynn_2014_AnnaZoolFenn","ARTICLE","Flynn, L.J. and Morgan, M.E. and Pilbeam, D. and Barry, J.C.","""endemism"" Relative to space, time, and taxonomic level","Annales Zoologici Fennici",2014,"51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897433095&doi=10.5735%2f086.051.0223&partnerID=40&md5=da96341f8fd85be1debaefbecd3fa074","Faunal assemblages consist of immigrants, endemics and long-term residents; changes in proportions of these categories through time reflect general aspects of faunal stability and turnover. To study stability and change in the long biostratigraphic succession of Miocene terrestrial mammalian faunas recorded mainly in the Potwar Plateau Siwaliks of Pakistan, we distinguish long-term residents and assess new appearances as endemic vs. immigrant components. Our data represent the biogeography of the northern Indian subcontinent, but because neighboring areas of similar age are not as well known, virtually all species are found only there, and the proportion of the fauna that is immigrant is not apparent. We use preceding faunal assemblages to judge whether individual species might have originated there. We find many long-term residents in the Siwaliks, and of new species, most are immigrants and fewer are likely to have originated endemically. Siwalik rodents and artiodactyls show high rates of immigration for both during the early middle Miocene, followed by declining immigration but continuing residents. In the late middle Miocene both groups show stability, with a high proportion of long-term residents, and high endemism among rodents. In contrast, late Miocene rodent and artiodactyl patterns differ. Rodents decline in diversity but show increased immigration and new long-term residents; artiodactyls show turnover but then recover with many persisting residents. 2014 Finnish Zoological and Botanical Publishing Board.","Finnish Zoological and Botanical Publishing Board","English","biogeography;  biostratigraphy;  endemic species;  endemism;  fossil assemblage;  immigrant;  Miocene;  new species;  rodent;  species diversity;  succession;  taxonomy;  turnover, Pakistan;  Potwar Plateau;  Punjab [Pakistan];  Siwalik Hills","0003455X","10.5735/086.051.0223","1-2",NA,NA,NA,"245-258","""Endemism"" Relative to Space, Time, and Taxonomic Level.","unknown",NA,"excluded"
889,"Pusalkar_2014_NoJoofBo","ARTICLE","Pusalkar, P.K.","Picrorhiza tungnathii sp. nov. from western Himalaya, India","Nordic Journal of Botany",2014,"32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902544056&doi=10.1111%2fj.1756-1051.2013.00160.x&partnerID=40&md5=89d6ffcec7de61d2ef9c113070dea13a","The new species Picrorhiza tungnathii Pusalkar is described and illustrated from the western Himalaya, India. It is distinguished from the allied P. kurrooa Royle ex Benth. by being 10-25 cm tall, having a moderately dense, (10-)15-25-flowered spike, a zygomorphic, 2-lipped, glandular-ciliate corolla that is equaling or slightly exceeding the calyx and partly visible or sub-exserted between the calyx lobes, a conspicuously long (longer than the corolla lobes), curved corolla tube (1/2-4/5 the length of the calyx), unequal corolla lobes that are ovate-lanceolate to lanceolate, acute to sub-acuminate and moderately ciliate, a mid-lobe of the upper lip that is obliquely erect, galeate with retuse or emarginate apex, lateral corolla lobes that are slightly smaller than the mid-lobe of the upper lip, a lower corolla lip that is slightly shorter than the lateral lobes, obliquely erect or spreading, didynamous, long-exserted (2-3 times the corolla) stamens, pollen of the Paederota-type and a style that is 2-3 times as long as the corolla. 2014 The Authors.","Blackwell Publishing Ltd","English","ciliate;  flowering;  new species;  pollen, Himalayas;  India, Ciliophora;  Paederota;  Picrorhiza;  Picrorhiza kurrooa","0107055X","10.1111/j.1756-1051.2013.00160.x","3",NA,NA,NA,"308-313","Picrorhiza Tungnathii Sp. Nov. from Western Himalaya, India.","unknown",NA,"excluded"
891,"Chantarasuwan_2014_BLUM","article","Chantarasuwan, B. and Peng, Y. -Q. and Baas, P. and Rasplus, J. -Y. and van Heuven, B. -J. and van Welzen, P. C.","Ficus cornelisiana, a new species of Ficus subsection Urostigma (Moraceae) from the Sino-himalayan region","BLUMEA",2014,"59",NA,"A small fig tree has been misidentified as Ficus orthoneura for a long time. However, morphologically it is distinct from F. orthoneura and F. hookeriana. Typical are the ellipsoid, puberulous receptacle and caducous basal bracts. Leaf anatomy shows a multiple epidermis with the cells in the inner layer much larger than in the outer layer and thus both layers resemble an epidermis with a separate hypodermis. The abaxial cuticle is strongly sculptured, the palisade layer shows some long subdivided cells, and enlarged lithocysts are only present abaxially. Because of these differences we hereby describe it as a new species, named in honour of Cornelis (Cees) Berg: Ficus cornelisiana.","RIJKSHERBARIUM","English","China; Ficus; Moraceae; new species; Vietnam","0006-5196","10.3767/000651914X681126","1","PO BOX 9514, 2300 RA LEIDEN, NETHERLANDS",NA,NA,"6-9","Ficus Cornelisiana, a New Species of Ficus Subsection Urostigma (Moraceae) from the Sino-Himalayan Region.","unknown",NA,"excluded"
894,"Shukla_2014_JoofFoRe","ARTICLE","Shukla, G. and Biswas, R. and Das, A.P. and Chakravarty, S.","Plant diversity at Chilapatta reserve forest of Terai Duars in sub-humid tropical foothills of Indian eastern Himalayas","Journal of Forestry Research",2014,"25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905172018&doi=10.1007%2fs11676-014-0452-3&partnerID=40&md5=48f89d31f64225bb666b2d8e3bae5f8d","From March 2007 to March 2009 we quantified plant diversity at Chilapatta Reserve Forest in Terai Duars in the Indian eastern Himalayas. We sampled stratified random nested quadrats. Species richness was 311, representing 167 genera and 81 families. The species diversity index and concentration of dominance of the forest were 2.20 and 0.0072, respectively. Shannon-Wiener index and evenness indices were 4.77 and 1.44, respectively. The Importance Value Index (IVI) of species ranged from 0.13 to 37.94. The estimated diversity indices indicated heterogeneity of the forest in its composition, structure, function and dynamics. Rich forest plant diversity supports the need for continued conservation of tropical forests. 2014 Northeast Forestry University and Springer-Verlag Berlin Heidelberg.","Northeast Forestry University","English","dominance;  species diversity;  species evenness;  species richness;  tropical forest, Himalayas;  India;  Tarai","1007662X","10.1007/s11676-014-0452-3","3",NA,NA,NA,"591-596","Plant Diversity at Chilapatta Reserve Forest of Terai Duars in Sub-Humid Tropical Foothills of Indian Eastern Himalayas.","unknown",NA,"excluded"
901,"Khan_2014_TuJoofBo","ARTICLE","Khan, M.A. and Bera, S.","New lauraceous species from the Siwalik forest of Arunachal Pradesh, eastern Himalaya, and their palaeoclimatic and palaeogeographic implications","Turkish Journal of Botany",2014,"38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897014130&doi=10.3906%2fbot-1308-35&partnerID=40&md5=672d35e57c3e18ea275b611518a115a1","Leaf remains of 4 lauraceous taxa collected from the Siwalik sediments (Middle Miocene to Pliocene) of Arunachal Pradesh of eastern Himalaya are described in the present communication. One fossil leaf, Cinnamomum palaeobejolghota sp. nov., was recovered from the lower part of the Siwalik succession (Dafa Formation; Middle to Upper Miocene), while Persea mioparviflora sp. nov., Persea preglaucescens sp. nov., and Lindera neobifaria sp. nov. were collected from the middle part of the Siwalik succession (Subansiri Formation; Pliocene) of Arunachal sub-Himalaya. Te geographic distribution of the fossils and their modern counterparts is discussed and on that basis tropical vegetation under warm and humid climate during deposition of the Siwalik sediments is suggested. Te present study also suggests probable migration of these lauraceous taxa in South-East Asia. TBTAK.","Turkiye Klinikleri Journal of Medical Sciences","English","angiosperm;  forest;  fossil;  geographical distribution;  leaf;  Miocene;  new species;  paleoclimate;  paleogeography;  Pliocene;  taxonomy, Arunachal Pradesh;  Himalayas;  India;  Siwalik Hills","1300008X","10.3906/bot-1308-35","3",NA,NA,NA,"453-464","New Lauraceous Species from the Siwalik Forest of Arunachal Pradesh, Eastern Himalaya, and their Palaeoclimatic and Palaeogeographic Implications.","selected",NA,"excluded"
905,"Sati_2014_ImofGlChonMoReanAd","BOOK","Sati, V.P.","Land-use/cover changes in the kewer gadhera sub-watershed, central himalaya","Impact of Global Changes on Mountains: Responses and Adaptation",2014,NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055597789&doi=10.1201%2fb17963&partnerID=40&md5=8ddb0177e9a85a6b8780c82c433e0eba","Land is a complex and dynamic combination of factors-geology, topography, hydrology, soils, microclimate and communities of plants and animals. They are continually interacting under the infl uence of climate and of peoples activities (Hudson 1995). Land-use/cover changes have recently become a major issue of research and a debate among academicians, researchers, policy makers and governments. Land use stands for the pattern of mans activity or economic function on a piece of land and land cover changes relate to the type of feature changes on the surface of the Earth (Lillesand and Kiefer 1994). It is the result of anthropogenic interaction with the natural environment. Besides affecting the quality of life of the people living in the area, land-cover changes also affects surface run-off as also erosion intensity (Piyoosh 2002). With increase in population and thus, in human settlements, urbanization, and industrialization, the change in all categories of land use seems to have led to tremendous changes in landscape. Similar to the global scenario, mountain regions have also been characterized by land-cover changes. In many of the mountain areas, expansion of human settlements and agricultural land over the marginal mountain niche is becoming very common which has resulted in shrinking of forestland. Population growth has forced the local people to bring more land under cultivation (Rawat et al. 1996). Depletion of forest from the fragile landscape of mountain has led to environmental hazards in the forms of landslides, debris fl ow, mass movement and fl ash fl ood. Musudiar (1993), Ukhimath [(Chamoli District), and Mapla (Pithoragarh District) (both in 1998)] landslides were the consequences of forest depletion which resulted in heavy damage to the property and loss of life. In the Central Himalaya, existing land-use pattern is a result of centuries old practices. Forestland occupies the highest geographical area (above 65%) while agricultural land is limited (12%). Cropping pattern is dominated by the practices of traditional subsistence cereal farming mainly millets. Currently, this pattern has changed as the populace of the region has largely migrated to the urban areas in search of better livelihood. Non-availability of agricultural land, unsuitability, and instability of terrain, harsh environmental conditions and inaccessibility of forestland are other aspects, which affect the landuse/cover changes (Sati and Kumar 2004). This study reveals that high population growth rate was observed in the Kewer Gadhera sub-watershed, increase in forestland and decrease in agricultural land was also observed during the last four decades. It was mainly due to the large-scale emigration on the one hand and land abandonment on the other. The main objective of this chapter is to examine land-use/cover changes during the last four decades in the Kewer Gadhera. 2015 by Taylor & Francis Group, LLC.","CRC Press","English",NA,NA,"10.1201/b17963",NA,NA,NA,NA,"298-311","Land-Use/Cover Changes in the Kewer Gadhera Sub-Watershed, Central Himalaya.","unknown",NA,"excluded"
909,"Ganai_2014_EcoEnvandCon","ARTICLE","Ganai, I.H. and Wani, M.A. and Talat, M.A. and Pandit, B.A. and Hafiz, N. and Bisati, A. and Mehraj, S.","Modeling soil erosion risk based on USLE using GIS in a Himalayan micro-Watershed","Ecology, Environment and Conservation",2014,"20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930239156&partnerID=40&md5=ee6586646b17496d156547d731b220fa","The purpose of this study was to investigate the soil loss and the spatial patterns of soil erosion risk for conservation planning in Khursi micro-watershed under Nilser sub-catchment, Ningle catchment of Jhelum basin in J&K State, implementing USLE (universal soil loss equation-3D) model in geographical information system (GIS). High resolution remote sensing data (IRS ID LISS HI data of path /Row 99/65 and 100/66 for the year 2000) was used to prepare landuse/landcover and soil maps to derive the vegetation cover and the soil erodibility factor whereas digital elevation model (DEM) was used to generate spatial topographic factor. Soil erodibility factor (K) in the micro-watershed ranged from 0.30 to 0.60. The micro-watershed is situated in the North-Southern aspect of the Himalayan range with predominance of open natural forests in the hilly landform, horticultural land in upper piedmont plains and agricultural land in lower piedmont and alluvial plains. Open forests in micro-watershed were predicted to have higher soil erosion rate than land with scrub and without scrub (fallow land). Agriculture land-1 and Agriculture land-2 have moderately high and low soil erosion risk, respectively. The study predicted that nearly 10% area has low and 4% area has moderately high to very high risk of soil erosion in the micro watershed. Copyright EM International.","Enviro Media","English","catchment;  GIS;  remote sensing;  soil erosion;  spatial variation;  topographic mapping;  watershed, Himalayas;  Jhelum River","0971765X",NA,NA,NA,NA,NA,NA,"Modeling Soil Erosion Risk Based on Usle using Gis in a Himalayan Micro-Watershed.","unknown",NA,"excluded"
