"","x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
"51",974,"Ballabha_2013_ForSciandPra","ARTICLE","Ballabha, R. and Tiwari, J.K. and Tiwari, P.","Regeneration of tree species in the sub-tropical forest of Alaknanda Valley, Garhwal Himalaya, India","Forest Science and Practice",2013,"15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882778868&doi=10.1007%2fs11632-013-0205-y&partnerID=40&md5=d2afe3ddf4bdda5b0e202dd3297b1ce5","We studied the regeneration of tree species in the sub-tropical forest of Alaknanda Valley in Garhwal Himalaya, India. The overall regeneration status was fairly good in the study area. Seedling density ranged between 520 and 1,240 seedlings per ha while the density of saplings varied between 400 and 800 saplings per ha. Out of eight sites studied, five sites, viz., A1, A2, B1, B2 and C2 contained the highest number of seedlings (280-480 per ha) and saplings (200-440 per ha) for Pinus roxburghii and remaining three sites viz., C1, D1 and D2 represented the highest number of seedlings (240-400 per ha) and saplings (200-240 per ha) for Anogeissus latifolius. The DBH class distribution of the tree species revealed that the highest number of individuals was concentrated in the lower diameter classes while smallest numbers were found in the higher diameter classes. Species such as Acacia catechu, Anogeissus latifolius, Dalbergia sissoo, Engelhardtia spicata, Lannea coromandelica, Mallotus philippensis and Pinus roxburghii have the largest number of saplings and seedlings in the lower DBH classes, suggesting that they have good regeneration potential. Other species such as Aegle marmelos, Bauhinia variegata, Bombax ceiba, Cassia fistula, Erythrina variegata, Haldinia cordifolia, Mangifera indica, Ougeinia oojeinensis, Phyllanthus emblica, Syzygium cumini, Terminalia alata and Toon a hexandra have either no or very small number of saplings in the lower DBH classes, which indicates that the status of these species implies poor regeneration. 2013 Beijing Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English",NA,"20954034","10.1007/s11632-013-0205-y","2",NA,NA,NA,"89-97","Regeneration of Tree Species in the Sub-Tropical Forest of Alaknanda Valley, Garhwal Himalaya, India.","unknown",NA,"selected"
"52",983,"Kanawjia_2013_ForSciandPra","ARTICLE","Kanawjia, A. and Kumar, M. and Sheikh, M.A.","Specific gravity of some woody species in the Srinagar Valley of the Garhwal Himalayas, India","Forest Science and Practice",2013,"15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873244620&partnerID=40&md5=181867c0d7c44a4b2e96f124ec2250f9","In this study, we investigated the specific gravity of wood samples collected from a total of 31 woody species, consisting of 20 trees, 10 shrubs and one species of bamboo from sub-tropical regions of Garhwal Himalayas, India. Results show that among these woody species, the specific gravity of trees ranged from 0.34 for Erythrina suberosa to 0.83 for Albizia procera. For shrub species the specific gravity of Ricinus communis was 0.39 and that of Dodonaea viscosa 0.93. The average specific gravity of trees was 0.58 and of shrubs 0.66. 2013 Beijing Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English",NA,"20954034",NA,"1",NA,NA,NA,"85-88","Specific Gravity of some Woody Species in the Srinagar Valley of the Garhwal Himalayas, India.","unknown",NA,"selected"
"53",991,"Yang_2013_EcolEngi","ARTICLE","Yang, X.-Q. and Kushwaha, S.P.S. and Saran, S. and Xu, J. and Roy, P.S.","Maxent modeling for predicting the potential distribution of medicinal plant, Justicia adhatoda L. in Lesser Himalayan foothills","Ecological Engineering",2013,"51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871941021&doi=10.1016%2fj.ecoleng.2012.12.004&partnerID=40&md5=dcbc024af392fc351f5863d64916679c","The population of the medicinal plant, Malabar nut (Justicia adhatoda L.) is shrinking in Dun valley due to habitat fragmentation, invasion by Lantana camara, over-exploitation, and an ever-increasing human population - the most important being the increasing demand on land for agriculture, industries and the urbanization. Predicting potential geographic distribution of the species is important from species and habitat restoration point of view. This paper reports the results of a study carried out in the Lesser Himalayan foothills in India (Dun valley) on potential distribution modeling for Malabar nut using Maxent model. The Worldclim bioclimatic variables, slope, aspect, elevation, and the land use/land cover (based on IRS LISS-III) data and 46 spatially well-dispersed species occurrence points were used to predict the potential distribution of J. adhatoda in ca. 1877km2 study area. Jackknife test was used to evaluate the importance of the environmental variables for predictive modeling. Maxent model was highly accurate with a statistically significant AUC value of 92.3. The approach could be promising in predicting the potential distribution of medicinal plant species and thus, can be an effective tool in species restoration and conservation planning. 2012 Elsevier B.V.",NA,"English","AUC;  J. adhatoda;  Jackknife;  Maxent;  Species distributions, Conservation;  Ecosystems;  Forecasting;  Plants (botany);  Restoration, Population distribution, biological invasion;  conservation planning;  dicotyledon;  dispersion;  habitat conservation;  habitat fragmentation;  IRS (satellite);  land cover;  land use;  LISS;  medicinal plant;  restoration ecology;  urbanization, Dehradun Valley;  Himalayas;  India;  Lesser Himalayas;  Uttarakhand, Justicia;  Justicia adhatoda;  Lantana camara","09258574","10.1016/j.ecoleng.2012.12.004",NA,NA,NA,NA,"83-87","Maxent Modeling for Predicting the Potential Distribution of Medicinal Plant, Justicia Adhatoda L. in Lesser Himalayan Foothills.","selected",NA,"selected"
"54",995,"Prasad_2013_JoofEnBi","ARTICLE","Prasad, M. and Khare, E.G. and Kannaujia, A.K. and Alok","Cuticle bearing fossil leaves from Mio-Pliocene period in the Sub Himalayan zone and its phytogeographical and environmental implications","Journal of Environmental Biology",2013,"34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886441399&partnerID=40&md5=6deca43c9d1ac4cf3cce143ba56ccf3d","A variety of fossil leaves were collected from the Siwalik group of India and Nepal. Few of them possessing sufficient cuticle were identified on the basis of morphological and cuticular features (epidermal cells, stomatal density, stomatal index etc). They closely resembled with the extant taxa, Pterospermum acerifolium (Sterculiaceae), Dichapetalum gelonioides (Dichapetalaceae), Paranephelium macrophyllum, P. xestophyllum (Sapindaceae), Gluta renghas (Anacardiaceae) and Mimusops elengi (Sapotaceae). The habit, habitat and present day distribution of the above modern comparable taxa suggest the prevalence of tropical humid environment during deposition of Siwalik sediments in the Sub-Himalayan zone. The extinction of the above comparable taxa (except Pterospermum acerifolium) from the Sub-Himalayan zone indicates the environmental change after Mio- Pliocene time. The epidermal and stomatal features of the fossil leaves collectively suggest the existence of a broad leaved mesophytic forest at low altitude having comparatively high humidity all along the Himalayan foot hills during 8-12 million years ago. Triveni Enterprises, Lucknow (India).","Triveni Enterprises","English","extinction;  fossil record;  habitat type;  humid environment;  leaf;  phytogeographical region;  Pliocene, Himalayas;  Siwalik Hills, Anacardiaceae;  Dichapetalaceae;  Dichapetalum;  Gluta renghas;  Malvaceae;  Mimusops elengi;  Paranephelium macrophyllum;  Pterospermum acerifolium;  Sapindaceae;  Sapotaceae, angiosperm;  article;  ecosystem;  environment;  fossil;  histology;  Nepal;  plant leaf;  species extinction, Angiosperms;  Ecosystem;  Environment;  Extinction, Biological;  Fossils;  Nepal;  Plant Leaves","02548704",NA,"5",NA,NA,NA,"863-875","Cuticle Bearing Fossil Leaves from Mio-Pliocene Period in the Sub Himalayan Zone and Its Phytogeographical and Environmental Implications.","selected",NA,"selected"
"55",1013,"Joshi_2012_InJoofCoSc","ARTICLE","Joshi, B. and Pant, S.C.","Monthly variation in plant biomass and net primary productivity of a mixed deciduous forest at foothills of Kumaun Himalaya","International Journal of Conservation Science",2012,"3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871032578&partnerID=40&md5=3eca8258a236de6caa31d8b89f0a6008","Variation in plant biomass and net primary productivity of a forest grazing land vegetation was analyzed in Tarai of Kumaun Himalaya near Kashipur. The vegetation was studied at monthly intervals from April 2007 to April 2008. Aboveground green biomass, dead biomass, litter biomass and belowground biomass were recorded as 216.9342.42 gm-2, 15.308.65 gm-2, 5.522.31 gm-2 and 132.9141.70 gm-2 respectively. Average total plant biomass was 365.1570.23 gm-2. The aboveground, belowground and litter production were 372.33 gm-2, 339.70 gm-2 and 13.91 gm-2 respectively. Total net primary production was 712.0323.07 gm-2. The turnover rates were 1.17, 1.20 and 1.47 for aboveground, litter and belowground parts respectively. Based on system transfer function, the net surplus of organic material as the rate of disappearance was moderately half than the rate of dry matter accumulation.",NA,"English",NA,"2067533X",NA,"1",NA,NA,NA,"41-50","Monthly Variation in Plant Biomass and Net Primary Productivity of a Mixed Deciduous Forest at Foothills of Kumaun Himalaya.","selected",NA,"selected"
"56",1023,"Shukla_2012_JoofFoRe","ARTICLE","Shukla, G. and Chakravarty, S.","Fern diversity and biomass at Chilapatta reserve forest of West Bengal Terai Duars in sub-humid tropical foothills of Indian eastern Himalayas","Journal of Forestry Research",2012,"23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869389417&doi=10.1007%2fs11676-012-0301-1&partnerID=40&md5=d293ac2f550718c95cc9e7c1e4afd358","We documented the status of fern diversity, biomass and carbon accumulation at Chilapatta Reserve Forest in Cooch Behar Wildlife Division, West Bengal. Stratified random nested quadrat sampling was adopted for analyzing the qualitative and quantitative characters. Nineteen fern species were recorded, of which two are yet to be identified. Identified species were of eight families and nine genera. Highest and lowest frequency recorded were 25. 44 and 0. 19 while relative frequency varied from 3. 16 to 12. 25. Fern density ranged from 93 to 13,403 individuals ha-1. Most of the species were widely distributed. IVI values ranged from 7. 54 to 37. 45. The above ground portion of ferns accumulated the major portion of biomass and carbon. 2012 Northeast Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English","fern;  forest ecosystem;  phytomass;  population distribution;  sampling;  species diversity;  taxonomy, Cooch Behar;  Himalayas;  India;  West Bengal, Filicophyta","1007662X","10.1007/s11676-012-0301-1","4",NA,NA,NA,"609-613","Fern Diversity and Biomass at Chilapatta Reserve Forest of West Bengal Terai Duars in Sub-Humid Tropical Foothills of Indian Eastern Himalayas.","selected",NA,"selected"
"57",1033,"Sheikh_2012_FoStinCh","ARTICLE","Sheikh, M.A. and Kumar, S. and Kumar, M.","Above and below ground organic carbon stocks in a sub-tropical Pinus roxburghii Sargent forest of the Garhwal Himalayas","Forestry Studies in China",2012,"14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865818740&doi=10.1007%2fs11632-012-0305-0&partnerID=40&md5=cec1853dea51cb1426e13fae7f4e6f22","Accurate estimates of tree carbon, forest floor carbon and organic carbon in forest soils (SOC) are important in order to determine their contribution to global carbon (C) stocks. However, information about these carbon stocks is lacking. Some studies have investigated regional and continental scale patterns of carbon stocks in forest ecosystems; however, the changes in C storage in different components (vegetation, forest floor and soil) as a function of elevation in forest ecosystems remain poorly understood. In this study, we estimate C stocks of vegetation, forest floor and soils of a Pinus roxburghii Sargent forest in the Garhwal Himalayas along a gradient to quantify changes in carbon stock due to differences in elevation at three sites. The biomass of the vegetation changes drastically with increasing elevation among the three sites. The above-ground biomass (AGB) and below-ground biomass (BGB) were highest at site I (184. 46 and 46. 386 tha -1 respectively) at an elevation of 1300 m followed by site II (173. 99 and 44. 057 tha -1 AGB and BGB respectively) at 1400 m and the lowest AGB and BGB were estimated at site III (161. 72 and 41. 301 tha -1) at 1500 m. The trend for SOC stock was similar to that of biomass. Our results suggest that carbon storage (in both soil and biomass) is negatively correlated with elevation. 2012 Beijing Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English",NA,"10081321","10.1007/s11632-012-0305-0","3",NA,NA,NA,"205-209","above and Below Ground Organic Carbon Stocks in a Sub-Tropical Pinus Roxburghii Sargent Forest of the Garhwal Himalayas.","selected",NA,"selected"
"58",1036,"Munsi_2012_RegiEnviChan","ARTICLE","Munsi, M. and Areendran, G. and Joshi, P.K.","Modeling spatio-temporal change patterns of forest cover: A case study from the Himalayan foothills (India)","Regional Environmental Change",2012,"12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865411708&doi=10.1007%2fs10113-011-0272-3&partnerID=40&md5=21713687484b33e319c19452bb1d6df9","The present study used temporal remote sensing data for 1990, 2001 and 2006 to assess spatio-temporal patterns of forest cover changes in Shiwalik range of the Himalaya, Dehradun forest division. Forests are innately associated to human well-being. However, with the increasing anthropogenic activities, deforestation has increased. Quantitative change analysis of the forest cover for the past two decades provides valuable insight into the forest conservation vis--vis anthropogenic activities in the region. Spatio-temporal datasets along with biotic and abiotic variables provide opportunities to model the forest cover change further. The present study investigates forest cover change and predicts status of forest cover in the Dehradun forest division. Land Change Modeller (LCM) was used to predict status of forest cover for 2010 and 2015 using current disturbance scenarios. Comparing actual LULC of 2006 with the predicted LULC of 2006 validated change prediction model and agreement was 61. 03%. The forested areas are getting degraded due to anthropogenic activities, but deforestation/degradation does not contribute much in expanding urban area. Agricultural areas and fallow lands are the main contributors to increased urban area. The study demonstrates the potential of geospatial tools to understand spatio-temporal forest cover change and generate the future scenarios. 2012 Springer-Verlag.",NA,"English",NA,"14363798","10.1007/s10113-011-0272-3","3",NA,NA,NA,"619-632","Modeling Spatio-Temporal Change Patterns of Forest Cover: a Case Study from the Himalayan Foothills (India)","selected",NA,"selected"
"59",1064,"Hameed_2012_PaJoofBo","ARTICLE","Hameed, M. and Nawaz, T. and Ashraf, M. and Ahmad, F. and Ahmad, K.S. and Ahmad, M.S.A. and Raza, S.H. and Hussain, M. and Ahmad, I.","Floral biodiversity and conservation status of the himalayan foothill region, Punjab","Pakistan Journal of Botany",2012,"44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864076571&partnerID=40&md5=4ea8ed9a7cf73f4db0d0aa28ef305fe2","The floral diversity of the Himalayan foothill region including the forests of Bhurban (Bhurban, Patrieta, Santh Anwali), Kamra (Kamra, Jawa, Kotli Satiyan), Bansra Galli (Wildlife Park, upper fenced area), Kathar (Cpt 109, Cpt 112, Cpt 111, Cpt 110), and Tret (Cpt 94-III, Cpt 96, Cpt 93, Cpt 92, Cpt 95, Cpt 97, Cpt 90, Cpt 91, Cpt 94-I) in the Murree region (Punjab) was explored to assess the vegetation structure and conservation status of economically important species. The vegetation was studied by the quadrat method during 2006-9. A total of 248 species belonging to 56 families were recorded from the area, where Poaceae was the largest family with 48 grass species. This was followed by Papilionaceae with 15, Asteraceae with 10, and Euphorbiaceae with 7 species. Species diversity was quite high, which seemed to be highly influenced by topographic characteristics like altitude, slope and aspect. Many areas were invaded by exotic species like Dodonaea viscosa, which was the most dominant shrub at lower altitudes. Carissa opaca also dominated lower altitudes along with D. viscosa. Themeda anathera dominated higher altitudes and steeper slopes among grasses, whereas tussock grasses like Chrysopogon serrulatus and Dichanthium foveolatum were dominant at lower altitudes along with Cymbopogon jwarancusa. Among conifers, Pinus roxburghii was recorded from moderate heights, while P. wallichiana and Cedrus deodara from the highest peaks. Conservation status of many economically important species was overall very poor, which was ascribed to anthropogenic activities and habitat destruction.",NA,"English","Asteraceae;  Carissa;  Cedrus;  Cedrus deodara;  Chrysopogon;  Coniferophyta;  Cymbopogon;  Cymbopogon jwarancusa;  Dichanthium;  Dodonaea viscosa;  Euphorbiaceae;  Papilionoideae;  Pinus roxburghii;  Poaceae;  Themeda","05563321",NA,"SPL. ISS. 2",NA,NA,NA,"143-149","Floral Biodiversity and Conservation Status of the Himalayan Foothill Region, Punjab.","selected",NA,"selected"
"60",1072,"Joshi_2012_JoofFoRe","ARTICLE","Joshi, P.K. and Rawat, A. and Narula, S. and Sinha, V.","Assessing impact of climate change on forest cover type shifts in Western Himalayan Eco-region","Journal of Forestry Research",2012,"23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855906010&doi=10.1007%2fs11676-012-0235-7&partnerID=40&md5=50671cc3376f7ac362a6e8dc3817c66d","Climate is a critical factor affecting forest ecosystems and their capacity to produce goods and services. Effects of climate change on forests depend on ecosystem-specific factors including dimensions of climate (temperature, precipitation, drought, wind etc.). Available information is not sufficient to support a quantitative assessment of the ecological, social and economic consequences. The present study assessed shifts in forest cover types of Western Himalayan Eco-region (700-4500 m). 100 randomly selected samples (75 for training and 25 for testing the model), genetic algorithm of rule set parameters and climatic envelopes were used to assess the distribution of five prominent forest cover types (Temperate evergreen, Tropical semi-evergreen, Temperate conifer, Subtropical conifer, and Tropical moist deciduous forests). Modelling was conducted for four different scenarios, current scenario, changed precipitation (8% increase), changed temperature (1. 07C increase), and both changed temperature and precipitation. On increasing precipitation a downward shift in the temperate evergreen and tropical semi-evergreen was observed, while sub-tropical conifer and tropical moist-deciduous forests showed a slight upward shift and temperate conifer showed no shift. On increasing temperature, an upward shift in all forest types was observed except sub-tropical conifer forests without significant changes. When both temperature and precipitation were changed, the actual distribution was maintained and slight upward shift was observed in all the forest types except sub-tropical conifer. It is important to understand the likely impacts of the projected climate change on the forest ecosystems, so that better management and conservation strategies can be adopted for the biodiversity and forest dependent community. Knowledge of impact mechanisms also enables identification and mitigation of some of the conditions that increase vulnerability to climate change in the forest sector. 2012 Northeast Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English","climate change;  climate effect;  coniferous forest;  conservation planning;  deciduous forest;  ecoregion;  ecosystem service;  environmental factor;  evergreen forest;  forest cover;  forest dynamics;  forest ecosystem;  forest management;  genetic algorithm;  population distribution;  precipitation intensity;  temperate forest;  temperature effect;  vulnerability, Coniferophyta","1007662X","10.1007/s11676-012-0235-7","1",NA,NA,NA,"75-80","Assessing Impact of Climate Change on Forest Cover Type Shifts in Western Himalayan Eco-Region.","selected",NA,"selected"
"61",1117,"Joshi_2011_BioandCon","ARTICLE","Joshi, P.K. and Yadav, K. and Sinha, V.S.P.","Assessing impact of forest landscape dynamics on migratory corridors: A case study of two protected areas in Himalayan foothills","Biodiversity and Conservation",2011,"20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81555195198&doi=10.1007%2fs10531-011-0123-z&partnerID=40&md5=c55dc985a0f0c5a929909613388005c0","Contiguity of protected areas (PAs) is a critical factor to promote well being of the native flora, fauna and life support system to humans. Such contiguity cannot be guaranteed without providing a path or 'a corridor' through forested landscapes that includes natural land cover and undisturbed patches. Incidentally, the Himalayan foothills have greater pressure on these landscapes due to high human dependence for livelihood. This pressure is expected to increase in the coming years altering the potential corridors between PAs. The PA managers need flexible processing, modeling and decision tools to propose a range of acceptable corridors between the PAs and ensure their sustainable health. Such flexible tools can be utilized in future to modify for taking decision to conserve the patches connecting patches and adapt as per changing landscapes. This article describes utility of geospatial modeling tools to assess the status of corridors in light of changing landscapes between Rajaji and Jim Corbett National Park, the two most important PAs in the Himalayan foothills. The work has been carried out in four stages, first-using satellite data land use land cover (LULC) maps were prepared for year 1990, 2000 and 2005, second-Land Change Modeler (LCM) was used for LULC change analysis, third-Multi Layer Perceptron Neural Network (MLPNN) was used to predict the status of LULC for 2015 and 2020, and fourth-using temporal morphology of the areas behaving both as barrier and easiness, friction surface cost was calculated to identify least cost pathways (LCPs)/migratory corridors between the PAs. The LULC maps for 1990, 2000 and 2005 were evaluated using accuracy assessment (80%) and Khat statistics (>0.79). The change prediction model was validated by comparing actual LULC of 2005 with predicted LULC of 2005 and the agreement was 71%. The LCP has shifted with the predicted change in the classes. The corridor has shifted by 0.5-3 km towards the south and has come closer to the agriculture fields and river channels. 2011 Springer Science+Business Media B.V.",NA,"English","assessment method;  decision making;  forest ecosystem;  functional morphology;  land cover;  landscape;  migratory behavior;  numerical model;  pressure effect;  protected area;  satellite data;  sustainable development, Corbett National Park;  India;  Rajaji National Park;  Uttarakhand, Catha edulis","09603115","10.1007/s10531-011-0123-z","14",NA,NA,NA,"3393-3411","Assessing Impact of Forest Landscape Dynamics on Migratory Corridors: a Case Study of Two Protected Areas in Himalayan Foothills.","selected",NA,"selected"
"62",1192,"Brown_2011_TreeRese","ARTICLE","Brown, P.M. and Bhattacharyya, A. and Shah, S.K.","Potential for developing fire histories in chir pine (Pinus roxburghii) forests in the Himalayan foothills","Tree-Ring Research",2011,"67","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951784559&doi=10.3959%2f2009-15.1&partnerID=40&md5=8dc88523da7abe7ad12d3744addfcd79","We report on the potential for developing long-term fire histories from chir pine (Pinus roxburghii Sarg.) forests in the Western Himalayan foothills based on a preliminary study from a stand located in the state of Uttarakhand in northern India. Rings from trees collected to develop a master skeleton plot chronology were generally complacent with false rings present during most years, but were crossdatable with only minor difficulty. The oldest tree confidently crossdated back to 1886, with good sample depth (5 trees) from 1911, which helped date the fire scars in cross-sections collected from three trees. Fire frequency as determined from fire-scar dates was high, with mean and median fire intervals of 3 years from 1938 to 2006. Fires were likely from human ignitions given the prevalence of human land use in the site. Fire scars were generally recorded at false-ring boundaries and likely represent burning during the hot, dry period in May or early June before the onset of monsoon rainfall beginning in mid-June. Although only three fire-scarred trees were sampled, this preliminary assessment shows there is a potential for additional samples from other stands to develop longer-term fire histories to better understand the role of fire in the ecology and management of chir pine throughout its range in the Himalaya region. Copyright 2011 by The Tree-Ring Society.",NA,"English","Pinus roxburghii","15361098","10.3959/2009-15.1","1",NA,NA,NA,"57-62","Potential for Developing Fire Histories in Chir Pine (Pinus Roxburghii) Forests in the Himalayan Foothills.","selected",NA,"selected"
"63",1194,"Sharma_2010_ForEcoandMan","ARTICLE","Sharma, C.M. and Baduni, N.P. and Gairola, S. and Ghildiyal, S.K. and Suyal, S.","Tree diversity and carbon stocks of some major forest types of Garhwal Himalaya, India","Forest Ecology and Management",2010,"260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049314002&doi=10.1016%2fj.foreco.2010.09.014&partnerID=40&md5=d7db67c24bba9a1040a5dd6599bbc034","Four forest stands each of twenty major forest types in sub-tropical to temperate zones (350m asl-3100m asl) of Garhwal Himalaya were studied. The aim of the study was to assess the stem density, tree diversity, biomass and carbon stocks in these forests and make recommendations for forest management based on priorities for biodiversity protection and carbon sequestration. Stem density ranged between 295 and 850Nha-1, while total biomass ranged from 129 to 533Mgha-1. Total carbon storage ranged between 59 and 245Mgha-1. The range of Shannon-Wiener diversity index was between 0.28 and 1.75. Most of the conifer-dominated forest types had higher carbon storage than broadleaf-dominated forest types. Protecting conifer-dominated stands, especially those dominated by Abies pindrow and Cedrus deodara, would have the largest impact, per unit area, on reducing carbon emissions from deforestation. 2010 Elsevier B.V.",NA,"English","Carbon sequestration;  Carbon storage;  Himalayan forests;  Species diversity;  Stem density, Biodiversity;  Deforestation, Biomass, assessment method;  biodiversity;  biomass;  carbon emission;  carbon sequestration;  coniferous forest;  deforestation;  forest management;  habitat conservation;  species diversity;  stand structure;  subtropical region;  temperate environment;  tree, Biomass;  Chelation;  Deforestation;  Density;  Emission;  Forests;  Himalaya;  Species Identification, Garhwal Himalayas;  Himalayas;  India;  Uttarakhand, Abies;  Abies pindrow;  Cedrus;  Cedrus deodara;  Coniferophyta","03781127","10.1016/j.foreco.2010.09.014","12",NA,NA,NA,"2170-2179","Tree Diversity and Carbon Stocks of some Major Forest Types of Garhwal Himalaya, India.","unknown",NA,"selected"
"64",1210,"Kumar_2010_JoofFoRe","ARTICLE","Kumar, M. and Joshi, M. and Todaria, N.P.","Regeneration status of a sub-tropical Anogeissus latifolia forest in Garhwal Himalaya, India","Journal of Forestry Research",2010,"21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650046977&doi=10.1007%2fs11676-010-0094-z&partnerID=40&md5=d856de10cd6bacda8f7cb0dbf5beb898","The present study deals with the regeneration status of a subtropical forest located between 950-1100 m above sea level in Garhwal Himalaya. The vegetation was quantitatively analyzed on four different aspects i.e., east, west, north and south. Results of the study indicated that across the aspects, Anogeissus latifolia was dominant in tree, sapling and seedling layers in all the aspects, except north aspect where Pinus roxburghii and Terminalia tomentosa were dominant in tree and seedling layers, respectively. The highest tree layer density (380 plantha-1) was recorded on south aspect and lowest (260 plantha-1) on west aspect. In shrub layer, highest density was on east aspect (1790 plantha-1) and lowest on west aspect (970 plantha-1). Tree and shrub layer diversity ranged between 0.846 to 1.710 and 1.943 to 2.847, respectively. The relative lopping intensity (%) was higher in Anogeissus latifolia (45%-57% as compared to 4%-33% in other species) which is the most important tree species on all aspects, except north aspect. The present study also reveals that if the current rate of exploitation continues, the species like Anogeissus latifolia may be replaced by other species and drastic changes may occur in species composition and regeneration of the forest. The anthropogenic pressure, aspect and soil nutrients have caused changes in regeneration status and species composition of forests. 2010 Northeast Forestry University and Springer-Verlag Berlin Heidelberg.",NA,"English","anthropogenic effect;  canopy architecture;  coniferous tree;  deciduous forest;  dominance;  quantitative analysis;  regeneration;  sapling;  seedling;  shrub;  species diversity;  subtropical region, Garhwal Himalayas;  Himalayas;  India;  Uttarakhand, Anogeissus latifolia;  Pinus roxburghii;  Terminalia;  Terminalia tomentosa","1007662X","10.1007/s11676-010-0094-z","4",NA,NA,NA,"439-444","Regeneration Status of a Sub-Tropical Anogeissus Latifolia Forest in Garhwal Himalaya, India.","unknown",NA,"selected"
"65",1221,"Ahmad_2010_PaJoofBo","ARTICLE","Ahmad, I. and Ahmad, M.S.A. and Hussain, M. and Ashraf, M. and Yasin Ashraf, M. and Hameed, M.","Spatiotemporal aspects of plant community structure in open scrub rangelands of sub-mountainous Himalayan Plateaus","Pakistan Journal of Botany",2010,"42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649808049&partnerID=40&md5=b9586894946c570b8ac277317740cbd8","Six ecologically diverse study sites were studied for changes in the structure of open scrubtype plant community over space and time. Ecological data were recorded using Fixed Quadrat Sampling Method and analyzed by using pRDA technique. Results revealed that enough moisture, suitable temperature and availability of macronutrients during summer lead to the maximal complexity of all communities which was follows by autumn and spring. However, the reverse was true during winter. Similarly, the study of different sites also revealed significant variation in plant communities that seemed to be highly associated with the soils physico-chemical properties. For example, most of the species were found to be dominant in soils containing higher macronutrients with high field capacity (Khabeki, Khoora and Knotti Garden sites). Salt and drought tolerant species were dominant in saline soil with steep slopes and at higher elevation (Jallar site). In contrast, moisture loving species were closely associated with the springs and water channels (Knotti Garden and Dape Sharif sites). In conclusion, the spatio-temporal variations in plant communities of this area were found to be a result of the moisture contents, filed capacity, soil macro-nutrients and type and composition of the soil and elevation of selected sites.",NA,"English",NA,"05563321",NA,"5",NA,NA,NA,"3431-3440","Spatiotemporal Aspects of Plant Community Structure in Open Scrub Rangelands of Sub-Mountainous Himalayan Plateaus.","unknown",NA,"selected"
"66",1223,"Pandey_2010_IndiSilk","ARTICLE","Pandey, R.K. and Bindroo, B.B. and Dhar, A. and Khan, M.A.","Oak regeneration in Sub-Himalayan India","Indian Silk",2010,"1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956100679&partnerID=40&md5=ba3c5c9a4fb47b893d43dbab242136a8","Three common oak species of sub-Himalayan region were examined for the influence of seed coat on germination, effect of nitrogen fixing bacteria on seedling growth and their growth at different locations in western Himalayan region. Seeds were soaked after removal of floating weeviled seeds for 48 hours with the moisture content of 53% of dry weight. Three combinations of rooting media were prepared; local clay soil, soil and sand in 3:1 ratio and soil and sand in 3:1 ratio inoculated with Azotobacter. The oak species Q. semecarpifolia, a late successional species is the greatest forest-forming species above 2400 AMSL in the Himalayan region. Fruit maturation was complete by late September of the second year. Seeds collected from Manipur for this study showed profuse germination and good seedling growth in different areas of Himachal Pradesh. Fruit maturation was complete by late September of the second year.",NA,"English",NA,"00196355",NA,"2",NA,NA,NA,"19-21","Oak Regeneration in Sub-Himalayan India.","unknown",NA,"selected"
